condition,acc_mean,acc_std,ksi_mean,ksi_std,n_seeds,raw_acc,raw_ksi
full_method,0.9388332639810412,0.00475160912912118,0.9888797551393509,0.0006049371773176646,3,"[0.9391780225954249, 0.943403104137276, 0.9339186652104224]","[0.9887924417853355, 0.9883232191205025, 0.9895236045122147]"
no_concept_loss,0.935361117642794,0.000824353590825629,0.41020129683117074,0.022419306694469125,3,"[0.9355838981573925, 0.9360511857277954, 0.9344482690431939]","[0.4163681035861373, 0.38534398283809423, 0.4288918040692806]"
fixed_weight,0.9393526868095219,0.002834217391838138,0.8244848027825356,0.04813147190195787,3,"[0.9423403692768402, 0.9367020814123199, 0.9390156097394055]","[0.8598096966743469, 0.8439808338880539, 0.7696638777852058]"
