condition,acc_mean,acc_std,ksi_mean,ksi_std,n_seeds,raw_acc,raw_ksi
full_method,0.94273253893182,0.008677717112902465,0.9965744391083717,0.00044544703953922386,3,"[0.9471432905383701, 0.9483189361610804, 0.9327353900960095]","[0.9966581389307976, 0.9969720989465714, 0.9960930794477463]"
no_concept_loss,0.9434785526813877,0.005671332047193563,0.46735157320896786,0.06858239580297838,3,"[0.9499079512927752, 0.9391862948800933, 0.9413414118712945]","[0.5444664247334003, 0.41318902745842934, 0.44439926743507385]"
fixed_weight,0.946970528635017,0.0019409277751626709,0.9294317935903867,0.015997045991750766,3,"[0.9482717022966417, 0.9447396219140816, 0.9479002616943276]","[0.9466482549905777, 0.9266201630234718, 0.9150269627571106]"
ewc_baseline,0.19546142208774583,0.0010909383586880405,-0.19754924159497023,0.011343278980469298,3,"[0.19576399394856278, 0.19636913767019668, 0.19425113464447807]","[-0.19761360716074705, -0.18617391679435968, -0.20886020082980394]"
ewc_plus_replay,0.9317451291092019,0.00679974219451416,0.4759159690390031,0.04985838952866484,3,"[0.9365223885586677, 0.9347527794018722, 0.923960219367066]","[0.4729387201368809, 0.5271962694823742, 0.4276129174977541]"
